restau_ID,restaurant,url,nombre_avis,score_general
41,La Veraison,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2431710-Reviews-La_Veraison-Paris_Ile_de_France.html,681,4.5
42,Le vent d'Armor,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10041740-Reviews-Le_Vent_d_Armor-Paris_Ile_de_France.html,358,5.0
43,Midi 12,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8772248-Reviews-Midi_12-Paris_Ile_de_France.html,959,4.5
44,Restaurant H,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9750183-Reviews-Restaurant_H-Paris_Ile_de_France.html,464,5.0
45,Restaurant Mumi,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12662811-Reviews-Restaurant_Mumi-Paris_Ile_de_France.html,345,5.0
46,Petite fleur,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12049160-Reviews-Petite_Fleur-Paris_Ile_de_France.html,553,4.5
47,Gegeor,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13125810-Reviews-Gegeor-Paris_Ile_de_France.html,189,5.0
48,Le Cinq,https://www.tripadvisor.fr/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html,2228,4.5
49,Restaurant Pilgrim,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13498074-Reviews-Restaurant_Pilgrim-Paris_Ile_de_France.html,111,5.0
50,L'Orangerie - Four Seasons Hotel George V,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10443323-Reviews-L_Orangerie-Paris_Ile_de_France.html,294,5.0
51,Les Freres Bretons,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11611919-Reviews-Les_Freres_Bretons-Paris_Ile_de_France.html,386,4.5
52,Tadam Paris,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13397675-Reviews-Tadam_Paris-Paris_Ile_de_France.html,111,5.0
53,La Boite Aux Lettres,https://www.tripadvisor.fr/Restaurant_Review-g187147-d4414548-Reviews-La_boite_aux_lettres-Paris_Ile_de_France.html,981,4.5
54,Johana's FISH & CHIPS,https://www.tripadvisor.fr/Restaurant_Review-g187147-d5808745-Reviews-Johana_s_FISH_CHIPS-Paris_Ile_de_France.html,328,4.5
55,La Bécane À Gaston,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12099045-Reviews-La_Becane_A_Gaston-Paris_Ile_de_France.html,275,5.0
56,La Bossue,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8799241-Reviews-La_Bossue-Paris_Ile_de_France.html,437,4.5
57,Source Infinie,https://www.tripadvisor.fr/Restaurant_Review-g187147-d14215380-Reviews-Source_Infinie-Paris_Ile_de_France.html,181,5.0
58,Restaurant L'INITIAL,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8074327-Reviews-Restaurant_L_INITIAL-Paris_Ile_de_France.html,432,5.0
59,24 Le Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8609394-Reviews-24_Le_Restaurant-Paris_Ile_de_France.html,217,5.0
60,Restaurant OXTE,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13424615-Reviews-Restaurant_OXTE-Paris_Ile_de_France.html,202,5.0
61,Le Cabanon de la Butte,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2720894-Reviews-Le_Cabanon_de_la_Butte-Paris_Ile_de_France.html,585,4.5
62,Le 217 Brasserie Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10748883-Reviews-Le_217_Brasserie_Restaurant-Paris_Ile_de_France.html,417,4.5
63,Pop's,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12223381-Reviews-Pop_s-Paris_Ile_de_France.html,547,4.5
64,Redd,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7702493-Reviews-Redd-Paris_Ile_de_France.html,180,4.5
65,Zia,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12031569-Reviews-Zia-Paris_Ile_de_France.html,167,4.5
66,Restaurant eels,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12663219-Reviews-Restaurant_eels-Paris_Ile_de_France.html,244,4.5
67,Chez Gabrielle,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1871995-Reviews-Chez_Gabrielle-Paris_Ile_de_France.html,1057,4.5
68,Oplato,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12871178-Reviews-Oplato-Paris_Ile_de_France.html,154,4.5
69,Le Reciproque,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10002410-Reviews-Le_reciproque-Paris_Ile_de_France.html,307,5.0
70,L'Aubergeade,https://www.tripadvisor.fr/Restaurant_Review-g187147-d718040-Reviews-L_Aubergeade-Paris_Ile_de_France.html,1029,4.5
71,La Réserve des Initiés,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9736329-Reviews-La_Reserve_Des_Inities-Paris_Ile_de_France.html,273,4.5
72,Restaurant Biscotte,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13972930-Reviews-Restaurant_Biscotte-Paris_Ile_de_France.html,197,5.0
73,Les Crêpes de Louis-Marie,https://www.tripadvisor.fr/Restaurant_Review-g187147-d9784431-Reviews-Les_Crepes_de_Louis_Marie-Paris_Ile_de_France.html,221,5.0
74,Publisher,https://www.tripadvisor.fr/Restaurant_Review-g187147-d5525598-Reviews-Publisher-Paris_Ile_de_France.html,289,4.5
75,Maison Rostang,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719770-Reviews-Maison_Rostang-Paris_Ile_de_France.html,540,4.5
76,Le 975,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7910212-Reviews-Le_975-Paris_Ile_de_France.html,276,4.5
77,L'Hommage,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12657453-Reviews-L_Hommage-Paris_Ile_de_France.html,256,4.5
78,Chez Arnaud,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6762652-Reviews-Chez_Arnaud-Paris_Ile_de_France.html,1196,4.5
